h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.113864,-0.222240,0.853337,0.000000,0.000000,0.000000,-0.113864,-0.222240,0.853337,-0.113864,-0.222240,0.853337
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.103389,-0.222931,0.850148,0.000000,0.000000,0.000000,-0.103389,-0.222931,0.850148,-0.103389,-0.222930,0.850148
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.091957,-0.223523,0.846764,0.000000,0.000000,0.000000,-0.091957,-0.223523,0.846764,-0.091957,-0.223523,0.846764
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080005,-0.223906,0.843610,0.000000,0.000000,0.000000,-0.080005,-0.223906,0.843610,-0.080005,-0.223906,0.843610
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.068467,-0.224500,0.841027,0.000000,0.000000,0.000000,-0.068467,-0.224500,0.841027,-0.068467,-0.224500,0.841027
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.056418,-0.225121,0.838912,0.000000,0.000000,0.000000,-0.056418,-0.225121,0.838912,-0.056418,-0.225121,0.838912
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.044176,-0.225633,0.837565,0.000000,0.000000,0.000000,-0.044176,-0.225633,0.837565,-0.044176,-0.225633,0.837565
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.031051,-0.226804,0.835695,0.000000,0.000000,0.000000,-0.031051,-0.226804,0.835695,-0.031051,-0.226804,0.835695
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.016936,-0.227749,0.833407,0.000000,0.000000,0.000000,-0.016936,-0.227749,0.833407,-0.016936,-0.227749,0.833407
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002631,-0.228730,0.831912,0.000000,0.000000,0.000000,-0.002631,-0.228730,0.831912,-0.002631,-0.228730,0.831912
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011351,-0.229122,0.830688,0.000000,0.000000,0.000000,0.011351,-0.229122,0.830688,0.011351,-0.229122,0.830688
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025149,-0.229397,0.829685,0.000000,0.000000,0.000000,0.025149,-0.229397,0.829685,0.025149,-0.229397,0.829685
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037787,-0.228750,0.830010,0.000000,0.000000,0.000000,0.037787,-0.228750,0.830010,0.037787,-0.228750,0.830010
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049466,-0.226887,0.830662,0.000000,0.000000,0.000000,0.049466,-0.226887,0.830662,0.049466,-0.226887,0.830662
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059819,-0.223853,0.832759,0.000000,0.000000,0.000000,0.059819,-0.223853,0.832759,0.059819,-0.223853,0.832759
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070086,-0.219712,0.838115,0.000000,0.000000,0.000000,0.070086,-0.219712,0.838115,0.070086,-0.219712,0.838115
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.081106,-0.214418,0.848074,0.000000,0.000000,0.000000,0.081106,-0.214418,0.848074,0.081106,-0.214418,0.848074
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.092926,-0.210291,0.859858,0.000000,0.000000,0.000000,0.092926,-0.210291,0.859858,0.092926,-0.210291,0.859858
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107605,-0.207898,0.874282,0.000000,0.000000,0.000000,0.107605,-0.207898,0.874282,0.107605,-0.207898,0.874282
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.126329,-0.207264,0.891150,0.000000,0.000000,0.000000,0.126329,-0.207264,0.891150,0.126329,-0.207264,0.891150
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.148142,-0.209826,0.906009,0.000000,0.000000,0.000000,0.148142,-0.209826,0.906009,0.148142,-0.209826,0.906009
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.169701,-0.214214,0.922494,0.000000,0.000000,0.000000,0.169701,-0.214214,0.922494,0.169701,-0.214214,0.922494
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.193991,-0.219818,0.939373,0.000000,0.000000,0.000000,0.193991,-0.219818,0.939373,0.193991,-0.219818,0.939373
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.218330,-0.225940,0.957904,0.000000,0.000000,0.000000,0.218330,-0.225940,0.957904,0.218330,-0.225940,0.957904
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.242932,-0.231814,0.977401,0.000000,0.000000,0.000000,0.242932,-0.231814,0.977401,0.242932,-0.231814,0.977401
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.267127,-0.237690,0.997891,0.000000,0.000000,0.000000,0.267127,-0.237690,0.997891,0.267127,-0.237690,0.997891
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.291062,-0.243167,1.018720,0.000000,0.000000,0.000000,0.291062,-0.243167,1.018720,0.291062,-0.243167,1.018720
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.314822,-0.248178,1.037161,0.000000,0.000000,0.000000,0.314822,-0.248178,1.037161,0.314822,-0.248178,1.037161
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.339019,-0.251536,1.055094,0.000000,0.000000,0.000000,0.339019,-0.251536,1.055094,0.339019,-0.251536,1.055094
-18.215746,8.948143,-14.320858,0.000000,0.000000,0.000000,-0.268173,0.046735,0.577732,0.000000,0.000000,0.000000,-0.268173,0.046735,0.577732,0.066965,0.060307,1.128219
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.268173,0.046735,0.577732,0.000000,0.000000,0.000000,-0.268173,0.046735,0.577732,0.066965,0.060307,1.128219
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.268173,0.046735,0.577732,0.000000,0.000000,0.000000,-0.268173,0.046735,0.577732,0.066965,0.060307,1.128219
0.016740,0.009566,0.016812,0.000000,0.000000,0.000000,-0.267615,0.047054,0.578292,0.000000,0.000000,0.000000,-0.267615,0.047054,0.578292,0.067748,0.062518,1.128930
0.000238,0.001867,-0.003047,0.000000,0.000000,0.000000,-0.267607,0.047116,0.578191,0.000000,0.000000,0.000000,-0.267607,0.047116,0.578191,0.067426,0.065557,1.129512
-0.008049,-0.002728,-0.008059,0.000000,0.000000,0.000000,-0.267875,0.047025,0.577922,0.000000,0.000000,0.000000,-0.267875,0.047025,0.577922,0.066922,0.069272,1.129989
0.004017,0.000078,-0.001034,0.000000,0.000000,0.000000,-0.267741,0.047028,0.577888,0.000000,0.000000,0.000000,-0.267741,0.047028,0.577888,0.066301,0.072969,1.131095
-0.000256,-0.001607,-0.000848,0.000000,0.000000,0.000000,-0.267750,0.046974,0.577859,0.000000,0.000000,0.000000,-0.267750,0.046974,0.577859,0.066153,0.076823,1.132001
-0.008138,0.007621,-0.017327,0.000000,0.000000,0.000000,-0.268021,0.047228,0.577282,0.000000,0.000000,0.000000,-0.268021,0.047228,0.577282,0.065880,0.080646,1.133463
-0.012854,-0.004791,-0.014185,0.000000,0.000000,0.000000,-0.268450,0.047069,0.576809,0.000000,0.000000,0.000000,-0.268450,0.047069,0.576809,0.065655,0.083776,1.134661
0.004127,-0.000248,0.005018,0.000000,0.000000,0.000000,-0.268312,0.047060,0.576976,0.000000,0.000000,0.000000,-0.268312,0.047060,0.576976,0.065472,0.086339,1.135641
0.005155,-0.002772,0.009694,0.000000,0.000000,0.000000,-0.268140,0.046968,0.577299,0.000000,0.000000,0.000000,-0.268140,0.046968,0.577299,0.065321,0.088437,1.136444
0.002458,0.001080,0.007936,0.000000,0.000000,0.000000,-0.268058,0.047004,0.577564,0.000000,0.000000,0.000000,-0.268058,0.047004,0.577564,0.065198,0.090155,1.137101
0.007077,0.000543,0.006498,0.000000,0.000000,0.000000,-0.267822,0.047022,0.577781,0.000000,0.000000,0.000000,-0.267822,0.047022,0.577781,0.065098,0.091561,1.137639
0.004805,0.000977,0.005320,0.000000,0.000000,0.000000,-0.267662,0.047055,0.577958,0.000000,0.000000,0.000000,-0.267662,0.047055,0.577958,0.065015,0.092713,1.138080
