"","lookback","still_thresh","zfv","zrv","yfv","yrv","zfc","zrc","yfc","yrc","control_region_taps","canon_taps_found","frac_taps_found","total_taps_found","canon_taps"
"104",20,0.05,-0.2,0.35,0,0,3,1,0,0,0,0,0,0,51
"105",20,0.05,-0.35,0.4,0,0,3,1,0,0,0,0,0,0,51
"106",20,0.05,-0.3,0.4,0,0,3,1,0,0,0,0,0,0,51
"107",20,0.05,-0.25,0.4,0,0,3,1,0,0,0,0,0,0,51
"108",20,0.05,-0.2,0.4,0,0,3,1,0,0,0,0,0,0,51
"109",20,0.05,-0.35,0,0,0,1,2,0,0,0,7,0.137254901960784,9,51
"110",20,0.05,-0.3,0,0,0,1,2,0,0,0,18,0.352941176470588,20,51
"111",20,0.05,-0.25,0,0,0,1,2,0,0,2,33,0.647058823529412,36,51
"112",20,0.05,-0.2,0,0,0,1,2,0,0,4,42,0.823529411764706,46,51
"113",20,0.05,-0.35,0.05,0,0,1,2,0,0,0,4,0.0784313725490196,4,51
"114",20,0.05,-0.3,0.05,0,0,1,2,0,0,0,5,0.0980392156862745,6,51
"115",20,0.05,-0.25,0.05,0,0,1,2,0,0,0,8,0.156862745098039,8,51
"116",20,0.05,-0.2,0.05,0,0,1,2,0,0,0,9,0.176470588235294,9,51
"117",20,0.05,-0.35,0.1,0,0,1,2,0,0,0,2,0.0392156862745098,2,51
"118",20,0.05,-0.3,0.1,0,0,1,2,0,0,0,2,0.0392156862745098,2,51
"119",20,0.05,-0.25,0.1,0,0,1,2,0,0,0,3,0.0588235294117647,3,51
"120",20,0.05,-0.2,0.1,0,0,1,2,0,0,0,4,0.0784313725490196,4,51
"121",20,0.05,-0.35,0.15,0,0,1,2,0,0,0,1,0.0196078431372549,1,51
"122",20,0.05,-0.3,0.15,0,0,1,2,0,0,0,1,0.0196078431372549,1,51
"123",20,0.05,-0.25,0.15,0,0,1,2,0,0,0,2,0.0392156862745098,2,51
"124",20,0.05,-0.2,0.15,0,0,1,2,0,0,0,3,0.0588235294117647,3,51
"125",20,0.05,-0.35,0.2,0,0,1,2,0,0,0,1,0.0196078431372549,1,51
"126",20,0.05,-0.3,0.2,0,0,1,2,0,0,0,1,0.0196078431372549,1,51
"127",20,0.05,-0.25,0.2,0,0,1,2,0,0,0,2,0.0392156862745098,2,51
"128",20,0.05,-0.2,0.2,0,0,1,2,0,0,0,3,0.0588235294117647,3,51
"129",20,0.05,-0.35,0.25,0,0,1,2,0,0,0,1,0.0196078431372549,1,51
"130",20,0.05,-0.3,0.25,0,0,1,2,0,0,0,1,0.0196078431372549,1,51
"131",20,0.05,-0.25,0.25,0,0,1,2,0,0,0,1,0.0196078431372549,1,51
"132",20,0.05,-0.2,0.25,0,0,1,2,0,0,0,2,0.0392156862745098,2,51
"133",20,0.05,-0.35,0.3,0,0,1,2,0,0,0,0,0,0,51
"134",20,0.05,-0.3,0.3,0,0,1,2,0,0,0,0,0,0,51
"135",20,0.05,-0.25,0.3,0,0,1,2,0,0,0,0,0,0,51
"136",20,0.05,-0.2,0.3,0,0,1,2,0,0,0,0,0,0,51
"137",20,0.05,-0.35,0.35,0,0,1,2,0,0,0,0,0,0,51
"138",20,0.05,-0.3,0.35,0,0,1,2,0,0,0,0,0,0,51
"139",20,0.05,-0.25,0.35,0,0,1,2,0,0,0,0,0,0,51
"140",20,0.05,-0.2,0.35,0,0,1,2,0,0,0,0,0,0,51
"141",20,0.05,-0.35,0.4,0,0,1,2,0,0,0,0,0,0,51
"142",20,0.05,-0.3,0.4,0,0,1,2,0,0,0,0,0,0,51
"143",20,0.05,-0.25,0.4,0,0,1,2,0,0,0,0,0,0,51
"144",20,0.05,-0.2,0.4,0,0,1,2,0,0,0,0,0,0,51
"145",20,0.05,-0.35,0,0,0,2,2,0,0,0,0,0,0,51
"146",20,0.05,-0.3,0,0,0,2,2,0,0,0,0,0,0,51
"147",20,0.05,-0.25,0,0,0,2,2,0,0,2,1,0.0196078431372549,4,51
"148",20,0.05,-0.2,0,0,0,2,2,0,0,3,6,0.117647058823529,11,51
"149",20,0.05,-0.35,0.05,0,0,2,2,0,0,0,0,0,0,51
"150",20,0.05,-0.3,0.05,0,0,2,2,0,0,0,0,0,0,51
"151",20,0.05,-0.25,0.05,0,0,2,2,0,0,0,1,0.0196078431372549,1,51
"152",20,0.05,-0.2,0.05,0,0,2,2,0,0,0,2,0.0392156862745098,2,51
"153",20,0.05,-0.35,0.1,0,0,2,2,0,0,0,0,0,0,51
"154",20,0.05,-0.3,0.1,0,0,2,2,0,0,0,0,0,0,51
"155",20,0.05,-0.25,0.1,0,0,2,2,0,0,0,1,0.0196078431372549,1,51
"156",20,0.05,-0.2,0.1,0,0,2,2,0,0,0,1,0.0196078431372549,1,51
"157",20,0.05,-0.35,0.15,0,0,2,2,0,0,0,0,0,0,51
"158",20,0.05,-0.3,0.15,0,0,2,2,0,0,0,0,0,0,51
"159",20,0.05,-0.25,0.15,0,0,2,2,0,0,0,1,0.0196078431372549,1,51
"160",20,0.05,-0.2,0.15,0,0,2,2,0,0,0,1,0.0196078431372549,1,51
"161",20,0.05,-0.35,0.2,0,0,2,2,0,0,0,0,0,0,51
"162",20,0.05,-0.3,0.2,0,0,2,2,0,0,0,0,0,0,51
"163",20,0.05,-0.25,0.2,0,0,2,2,0,0,0,1,0.0196078431372549,1,51
"164",20,0.05,-0.2,0.2,0,0,2,2,0,0,0,1,0.0196078431372549,1,51
"165",20,0.05,-0.35,0.25,0,0,2,2,0,0,0,0,0,0,51
