h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,hand1_to_center,hand2_to_center,h1x_cg,h1y_cg,h1z_cg,h2x_cg,h2y_cg,h2z_cg,hand_distance,time
0.002443,0.005395,0.017695,0.002464,0.005388,0.018454,1.003047,-0.936569,2.313008,0.002453,0.005391,0.018067,1.003049,-0.936569,2.313065,1.003046,-0.936568,2.312951,0.017712,-0.018470,0.998759,-0.932447,2.299376,0.998759,-0.932447,2.299376,0.000113,30
-0.023332,0.022411,-0.074444,-0.023310,0.022405,-0.073822,1.002270,-0.935822,2.310537,-0.023321,0.022409,-0.074129,1.002271,-0.935822,2.310583,1.002269,-0.935821,2.310491,-0.075356,0.074706,1.002947,-0.939519,2.315728,1.002947,-0.939519,2.315728,0.000093,31
0.003669,-0.020104,0.027966,0.003687,-0.020108,0.028460,1.002393,-0.936492,2.311477,0.003676,-0.020106,0.028210,1.002394,-0.936492,2.311515,1.002391,-0.936491,2.311439,0.028286,-0.028741,1.013566,-0.945128,2.332315,1.013566,-0.945128,2.332315,0.000076,32
0.060750,-0.046953,0.113118,0.060761,-0.046964,0.113533,1.004418,-0.938057,2.315255,0.060757,-0.046960,0.113325,1.004419,-0.938057,2.315286,1.004417,-0.938057,2.315224,0.115186,-0.115705,1.009955,-0.937241,2.315728,1.009955,-0.937241,2.315728,0.000062,33
0.030112,0.004429,0.002410,0.030123,0.004429,0.002747,1.005422,-0.937909,2.315341,0.030116,0.004431,0.002582,1.005422,-0.937910,2.315366,1.005421,-0.937909,2.315315,0.003352,-0.003559,1.005409,-0.939332,2.315728,1.005409,-0.939332,2.315728,0.000051,34
-0.000075,-0.007730,0.001967,-0.000068,-0.007732,0.002246,1.005419,-0.938167,2.315411,-0.000072,-0.007732,0.002110,1.005420,-0.938167,2.315432,1.005419,-0.938167,2.315390,0.002030,-0.002309,0.998681,-0.937284,2.315728,0.998681,-0.937284,2.315728,0.000042,35
-0.036657,0.004798,0.001616,-0.036646,0.004794,0.001838,1.004198,-0.938007,2.315469,-0.036650,0.004796,0.001724,1.004198,-0.938007,2.315486,1.004197,-0.938007,2.315451,0.000565,-0.000787,1.008726,-0.936360,2.315728,1.008726,-0.936360,2.315728,0.000034,36
0.024626,0.008962,0.001309,0.024626,0.008962,0.001502,1.005018,-0.937709,2.315516,0.024626,0.008962,0.001409,1.005019,-0.937709,2.315529,1.005018,-0.937708,2.315501,0.002080,-0.002259,1.012373,-0.932550,2.299376,1.012373,-0.932550,2.299376,0.000028,37
0.039990,0.028049,-0.087841,0.040001,0.028049,-0.087690,1.006352,-0.936774,2.312590,0.039997,0.028049,-0.087769,1.006352,-0.936774,2.312601,1.006351,-0.936774,2.312578,-0.087276,0.086685,1.011566,-0.938943,2.315728,1.011566,-0.938943,2.315728,0.000023,38
0.028363,-0.011782,0.016987,0.028363,-0.011789,0.017109,1.007297,-0.937167,2.313158,0.028360,-0.011786,0.017045,1.007297,-0.937167,2.313168,1.007297,-0.937167,2.313149,0.018038,-0.017830,1.019250,-0.939677,2.315728,1.019250,-0.939677,2.315728,0.000019,39
