h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,hand1_to_center,hand2_to_center,h1x_cg,h1y_cg,h1z_cg,h2x_cg,h2y_cg,h2z_cg,hand_distance,time
-0.126414,0.043277,0.029948,-0.056611,0.031283,-0.058578,0.076606,-0.223194,0.952373,-0.091512,0.037280,-0.014314,-0.156809,-0.237428,1.064449,0.310020,-0.208960,0.840298,0.124354,-0.023922,-0.156307,-0.228960,1.051695,0.268589,-0.201726,0.842233,0.518636,38
0.002728,0.046046,-0.069348,-0.225306,0.039341,0.010518,0.072896,-0.221771,0.951393,-0.111289,0.042694,-0.029415,-0.156718,-0.235893,1.062137,0.302510,-0.207649,0.840649,-0.035080,-0.205011,-0.117838,-0.226933,1.028443,0.231948,-0.194962,0.853268,0.510632,39
0.211432,0.048730,-0.183234,-0.383720,0.068994,0.068620,0.070025,-0.219809,0.949483,-0.086144,0.058862,-0.057308,-0.149670,-0.234269,1.056029,0.289719,-0.205349,0.842936,-0.272605,-0.370467,-0.084105,-0.223060,1.006197,0.193094,-0.187513,0.871538,0.489192,40
0.356551,0.060952,-0.270993,-0.525457,0.096996,0.155536,0.067210,-0.217177,0.947558,-0.084453,0.078974,-0.057728,-0.137785,-0.232237,1.046996,0.272204,-0.202116,0.848121,-0.442137,-0.533079,-0.054335,-0.211599,1.000017,0.166966,-0.184380,0.888179,0.456673,41
0.453810,0.112231,-0.255482,-0.572290,0.096449,0.217849,0.065235,-0.213699,0.946931,-0.059240,0.104340,-0.018815,-0.122658,-0.228496,1.038480,0.253128,-0.198901,0.855382,-0.526494,-0.601557,-0.038683,-0.206919,0.993912,0.156023,-0.177184,0.890609,0.419066,42
0.456662,0.117339,-0.242361,-0.528063,0.118101,0.191562,0.064045,-0.209775,0.946085,-0.035700,0.117719,-0.025401,-0.107436,-0.224585,1.030401,0.235526,-0.194964,0.861768,-0.524265,-0.547607,-0.036694,-0.201597,0.990887,0.153753,-0.169367,0.888179,0.383324,43
0.384701,0.125006,-0.214884,-0.444687,0.139201,0.143632,0.063045,-0.205371,0.944897,-0.029993,0.132104,-0.035625,-0.094613,-0.220418,1.023239,0.220703,-0.190324,0.866555,-0.449182,-0.448615,-0.039853,-0.198265,0.990887,0.150491,-0.168342,0.883360,0.353383,44
0.297789,0.120469,-0.175931,-0.381818,0.119541,0.091383,0.061645,-0.201371,0.943488,-0.042015,0.120005,-0.042275,-0.084686,-0.216402,1.017374,0.207976,-0.186340,0.869601,-0.354680,-0.369512,-0.042527,-0.196769,0.990887,0.150396,-0.166415,0.878593,0.329229,45
0.229265,0.106768,-0.144042,-0.313119,0.108352,0.048900,0.060247,-0.197786,0.941902,-0.041927,0.107560,-0.047572,-0.077044,-0.212843,1.012573,0.197538,-0.182728,0.871231,-0.278857,-0.288845,-0.044483,-0.196743,0.990887,0.151235,-0.165740,0.878593,0.310290,46
0.177072,0.087558,-0.117931,-0.251804,0.092380,0.040029,0.059002,-0.194787,0.940604,-0.037366,0.089969,-0.038949,-0.071142,-0.209925,1.008642,0.189145,-0.179649,0.872566,-0.219422,-0.230948,-0.046036,-0.194937,0.990887,0.150709,-0.166142,0.878593,0.295267,47
0.136526,0.081506,-0.096552,-0.209020,0.073450,0.032777,0.057793,-0.192204,0.939541,-0.036247,0.077478,-0.031890,-0.066591,-0.207208,1.005423,0.182178,-0.177200,0.873658,-0.173545,-0.191139,-0.044075,-0.195880,0.990887,0.149674,-0.167590,0.880970,0.283105,48
0.122442,0.061601,-0.079057,-0.176756,0.052259,0.039763,0.056888,-0.190306,0.938886,-0.027157,0.056930,-0.019646,-0.062510,-0.205155,1.002788,0.176286,-0.175458,0.874984,-0.151107,-0.167867,-0.043870,-0.195199,0.990887,0.149658,-0.166927,0.883360,0.272468,49
0.101364,0.054138,-0.064716,-0.144804,0.046392,0.045555,0.056164,-0.188631,0.938567,-0.021720,0.050265,-0.009581,-0.059131,-0.203350,1.000631,0.171459,-0.173912,0.876502,-0.125226,-0.142981,-0.043367,-0.197082,0.990887,0.148445,-0.166817,0.883360,0.263526,50
0.085725,0.034088,-0.052990,-0.125152,0.038583,0.037297,0.055507,-0.187420,0.938305,-0.019713,0.036335,-0.007846,-0.056273,-0.202214,0.998865,0.167287,-0.172626,0.877746,-0.103882,-0.122490,-0.043763,-0.198116,0.993912,0.147461,-0.167907,0.883360,0.255978,51
0.068030,0.022281,-0.026937,-0.107816,0.025662,0.030536,0.054844,-0.186621,0.938365,-0.019893,0.023971,0.001801,-0.054006,-0.201471,0.997967,0.163693,-0.171770,0.878763,-0.074740,-0.105410,-0.044030,-0.198438,0.990887,0.148053,-0.166162,0.883360,0.249969,52
0.054248,0.016494,-0.038499,-0.085051,0.030499,0.024991,0.054330,-0.185837,0.938140,-0.015401,0.023496,-0.006756,-0.052197,-0.200921,0.996683,0.160858,-0.170754,0.879596,-0.067612,-0.082158,-0.044559,-0.198882,0.990887,0.147437,-0.167011,0.883360,0.244974,53
0.041540,0.011090,-0.031525,-0.072984,0.020350,0.020476,0.053806,-0.185313,0.937956,-0.015722,0.015720,-0.005524,-0.050813,-0.200552,0.995633,0.158425,-0.170075,0.880279,-0.052586,-0.070632,-0.045234,-0.200353,0.993912,0.148216,-0.167148,0.883360,0.240865,54
0.030339,0.001081,-0.009359,-0.055520,0.015922,0.016753,0.053387,-0.185030,0.938079,-0.012591,0.008502,0.003696,-0.049801,-0.200515,0.995321,0.156575,-0.169545,0.880837,-0.030947,-0.054124,-0.046053,-0.200275,0.993912,0.149605,-0.166786,0.883360,0.238027,55
0.020383,0.001305,-0.007657,-0.037905,0.015005,0.013715,0.053095,-0.184758,0.938180,-0.008761,0.008155,0.003029,-0.049122,-0.200472,0.995065,0.155311,-0.169045,0.881295,-0.021516,-0.037439,-0.046712,-0.196354,0.996955,0.150899,-0.167014,0.883360,0.236060,56
0.013104,0.022395,0.010280,-0.023993,0.011042,0.011235,0.052913,-0.184201,0.938539,-0.005444,0.016718,0.010757,-0.048685,-0.199725,0.995408,0.154511,-0.168676,0.881669,-0.009317,-0.024733,-0.047418,-0.198434,0.996955,0.150723,-0.168836,0.883360,0.234924,57
0.006892,0.007020,0.008408,-0.020602,-0.000866,0.009202,0.052685,-0.184098,0.938832,-0.006855,0.003077,0.008805,-0.048455,-0.199491,0.995688,0.153825,-0.168705,0.881976,-0.002795,-0.022387,-0.046347,-0.200448,0.996955,0.153197,-0.169773,0.883360,0.234085,58
0.011468,-0.005197,0.006888,-0.003413,-0.005801,0.007532,0.052819,-0.184282,0.939072,0.004027,-0.005499,0.007210,-0.048073,-0.199665,0.995918,0.153711,-0.168899,0.882227,-0.005868,-0.007377,-0.045722,-0.201821,0.996955,0.154408,-0.171889,0.885763,0.233643,59
0.012785,-0.011725,0.005647,0.003793,-0.016263,0.019231,0.053095,-0.184748,0.939487,0.008289,-0.013994,0.012440,-0.047647,-0.200056,0.996106,0.153837,-0.169441,0.882868,-0.006766,-0.008199,-0.045455,-0.201450,0.996955,0.154014,-0.173393,0.885763,0.233144,60
0.011918,-0.007584,0.004606,0.000961,-0.021494,0.015743,0.053310,-0.185233,0.939826,0.006439,-0.014539,0.010175,-0.047250,-0.200308,0.996260,0.153869,-0.170157,0.883393,-0.007087,-0.009595,-0.045623,-0.199071,1.000017,0.153493,-0.173293,0.885763,0.232588,61
0.008845,0.006732,0.020437,-0.002044,-0.017049,0.012894,0.053423,-0.185405,0.940382,0.003400,-0.005158,0.016665,-0.046955,-0.200084,0.996941,0.153801,-0.170726,0.883822,0.001457,-0.010201,-0.046428,-0.197313,1.003097,0.153762,-0.171882,0.885763,0.232295,62
0.002866,0.015066,0.033486,-0.000214,-0.006289,0.010548,0.053467,-0.185258,0.941116,0.001326,0.004388,0.022017,-0.046859,-0.199582,0.998057,0.153794,-0.170935,0.884174,0.012073,-0.006127,-0.049083,-0.194600,1.006197,0.154121,-0.167924,0.885763,0.232490,63
-0.012092,0.027089,0.044256,0.001777,0.016377,0.008635,0.053295,-0.184534,0.941997,-0.005158,0.021733,0.026447,-0.047262,-0.198679,0.999532,0.153853,-0.170389,0.884462,0.028952,-0.000741,-0.049774,-0.190302,1.006197,0.153274,-0.161105,0.885763,0.233429,64
-0.013658,0.045552,0.036244,-0.003153,0.050487,0.007079,0.053015,-0.182933,0.942719,-0.008406,0.048020,0.021662,-0.047718,-0.197160,1.000741,0.153748,-0.168706,0.884698,0.024170,-0.000086,-0.052142,-0.180297,1.009316,0.150403,-0.155975,0.883360,0.234231,65
-0.024057,0.091705,0.046635,-0.018189,0.069231,-0.007265,0.052311,-0.180251,0.943375,-0.021123,0.080468,0.019684,-0.048520,-0.194104,1.002295,0.153142,-0.166399,0.884456,0.033189,-0.003800,-0.053398,-0.172650,1.009316,0.146272,-0.147929,0.883360,0.235204,66
-0.026528,0.116668,0.038180,-0.037363,0.100442,-0.005960,0.051246,-0.176633,0.943912,-0.031945,0.108555,0.016111,-0.049404,-0.190215,1.003568,0.151897,-0.163051,0.884257,0.028552,-0.017327,-0.057121,-0.163360,1.009316,0.144960,-0.136578,0.883360,0.235573,67
-0.041968,0.146039,0.031250,-0.037719,0.143959,-0.004869,0.049918,-0.171799,0.944352,-0.039844,0.144999,0.013189,-0.050803,-0.185347,1.004609,0.150639,-0.158252,0.884095,0.034970,-0.013165,-0.058442,-0.155413,1.003097,0.140818,-0.126994,0.880970,0.236298,68
-0.041544,0.162779,-0.008222,-0.053410,0.169982,-0.016987,0.048336,-0.166253,0.943932,-0.047477,0.166381,-0.012605,-0.052188,-0.179921,1.004335,0.148859,-0.152586,0.883528,0.012321,-0.017106,-0.061223,-0.143448,1.000017,0.137592,-0.118593,0.880970,0.236138,69
-0.049133,0.198339,-0.023482,-0.061269,0.184853,-0.013908,0.046496,-0.159867,0.943309,-0.055201,0.191596,-0.018695,-0.053825,-0.173309,1.003553,0.146817,-0.146424,0.883065,0.007201,-0.023973,-0.063107,-0.138681,0.996955,0.135624,-0.109363,0.878593,0.235579,70
-0.050477,0.188314,-0.035881,-0.060869,0.201547,-0.024319,0.044640,-0.153369,0.942305,-0.055673,0.194930,-0.030100,-0.055508,-0.167032,1.002357,0.144788,-0.139706,0.882254,0.002786,-0.016005,-0.067374,-0.124171,0.993912,0.134199,-0.102137,0.876229,0.235137,71
-0.064530,0.233084,-0.045927,-0.057579,0.204303,-0.032766,0.042605,-0.146079,0.940994,-0.061055,0.218693,-0.039346,-0.057659,-0.159263,1.000826,0.142868,-0.132896,0.881162,0.005526,-0.009526,-0.067416,-0.116345,0.990887,0.133399,-0.093168,0.873877,0.235002,72
-0.053060,0.233390,-0.054038,-0.051497,0.216045,-0.039620,0.040862,-0.138589,0.939433,-0.052278,0.224718,-0.046830,-0.059428,-0.151483,0.999024,0.141152,-0.125694,0.879841,-0.007738,-0.000152,-0.068118,-0.108426,0.987881,0.133398,-0.086862,0.871538,0.234738,73
-0.047259,0.234146,-0.060605,-0.042167,0.211171,-0.045154,0.039372,-0.131167,0.937670,-0.044713,0.222659,-0.052879,-0.061003,-0.143678,0.997004,0.139746,-0.118655,0.878336,-0.015195,0.009284,-0.070050,-0.099852,0.987881,0.132134,-0.079914,0.869212,0.234539,74
-0.049197,0.238329,-0.049619,-0.041395,0.210678,-0.049617,0.037862,-0.123683,0.936016,-0.045296,0.224504,-0.049617,-0.062643,-0.135734,0.995350,0.138366,-0.111633,0.876682,-0.007428,0.011270,-0.071026,-0.098271,0.987881,0.131376,-0.073557,0.869212,0.234665,75
-0.045588,0.203724,-0.040618,-0.038015,0.207061,-0.040621,0.036468,-0.116837,0.934662,-0.041802,0.205392,-0.040619,-0.064162,-0.128943,0.993996,0.137099,-0.104731,0.875328,-0.002459,0.009293,-0.069701,-0.095073,0.984893,0.131207,-0.066814,0.871538,0.234893,76
-0.030118,0.184188,-0.049501,-0.032042,0.206192,-0.020610,0.035432,-0.110331,0.933494,-0.031080,0.195190,-0.035056,-0.065166,-0.122804,0.992346,0.136031,-0.097858,0.874641,-0.018605,0.004789,-0.069921,-0.091101,0.984893,0.130479,-0.061388,0.873877,0.234430,77
-0.025859,0.172401,-0.040535,-0.030194,0.198322,-0.004165,0.034498,-0.104152,0.932749,-0.028026,0.185362,-0.022350,-0.066028,-0.117057,0.990995,0.135025,-0.091247,0.874502,-0.016993,-0.001997,-0.068079,-0.088665,0.984893,0.131328,-0.055673,0.873877,0.233793,78
-0.011151,0.154397,-0.033191,-0.020103,0.193455,-0.003399,0.033977,-0.098354,0.932139,-0.015627,0.173926,-0.018296,-0.066400,-0.111910,0.989889,0.134355,-0.084798,0.874389,-0.024791,0.006869,-0.067043,-0.083624,0.984893,0.133675,-0.052987,0.873877,0.233190,79
-0.003496,0.153822,-0.027171,-0.003694,0.172993,-0.002788,0.033857,-0.092907,0.931640,-0.003595,0.163408,-0.014977,-0.066517,-0.106783,0.988983,0.134231,-0.079032,0.874296,-0.028700,0.018805,-0.063519,-0.079520,0.981923,0.133050,-0.051999,0.871538,0.232858,80
0.016299,0.148257,-0.038400,-0.006423,0.147010,-0.014995,0.034022,-0.087986,0.930750,0.004938,0.147633,-0.026699,-0.065973,-0.101841,0.987703,0.134017,-0.074132,0.873796,-0.050651,0.019399,-0.060449,-0.077909,0.978971,0.137303,-0.048753,0.871538,0.231816,81
0.030043,0.130142,-0.047484,0.017868,0.138012,-0.012274,0.034821,-0.083517,0.929754,0.023955,0.134077,-0.029878,-0.064972,-0.097503,0.986120,0.134613,-0.069531,0.873387,-0.064911,0.038152,-0.055899,-0.073936,0.976036,0.141275,-0.049028,0.869212,0.230922,82
